med_id;pro_id;tym_id;media_libelle;media_ressource
172;172;1;gep24-ensemble-chinois;gep24-ensemble-chinois.jpg
173;173;1;mep4-ensemble-pour-danseur;mep4-ensemble-pour-danseur.jpg
174;174;1;gep14b-ensemble-oriental-orange-a-pieces;gep14b-ensemble-oriental-orange-a-pieces.jpg
175;175;1;mep6-costume-de-soldat;mep6-costume-de-soldat.jpg
176;176;1;gep31-costume-blanc-presentateur;gep31-costume-blanc-presentateur.jpg
177;177;1;mep25a-ensemble-shorty-avec-marcel-noir;mep25a-ensemble-shorty-avec-marcel-noir.jpg
178;178;1;gep17-costume-homme;gep17-costume-homme.jpg
179;179;1;mep28-ensemble-pantalon-couleur-or;mep28-ensemble-pantalon-couleur-or.jpg
180;180;1;gep30-ensemble-pantalon-noir-ou-blanc-avec-haut-creme-ou-imprime;gep30-ensemble-pantalon-noir-ou-blanc-avec-haut-creme-ou-imprime.jpg
181;181;1;gep19-ensembles-gris-differents;gep19-ensembles-gris-differents.jpg
182;182;1;gep15a-ensemble-pantalon-avec-haut-argent;gep15a-ensemble-pantalon-avec-haut-argent.jpg
183;183;1;mep27-ensemble-shorty-plus-haut-gris;mep27-ensemble-shorty-plus-haut-gris.jpg
184;184;1;gep15b-ensemble-shorty-et-haut-argent;gep15b-ensemble-shorty-et-haut-argent.jpg
185;185;1;mep26b-ensemble-pantalon-fushia;mep26b-ensemble-pantalon-fushia.jpg
186;186;1;mep26a-ensemble-pantalon-rose;mep26a-ensemble-pantalon-rose.jpg
187;187;1;gep16-ensemble-hip-hop;gep16-ensemble-hip-hop.jpg
188;188;1;mep14-assortiment-pyjamas-adolescents;mep14-assortiment-pyjamas-adolescents.jpg
189;189;1;gep8-ensemble-pantalon-rouge;gep8-ensemble-pantalon-rouge.jpg
190;190;1;gep5-ensemble-oriental-blanc;gep5-ensemble-oriental-blanc.jpg
191;191;1;mep22-costume-d-homme-avec-rayures;mep22-costume-d-homme-avec-rayures.jpg
192;192;1;gep3-ensemble-pantalon-chinois-avec-haut-blanc;gep3-ensemble-pantalon-chinois-avec-haut-blanc.jpg
193;193;1;gep1-ensemble-maure-et-petrouchka;gep1-ensemble-maure-et-petrouchka.jpg
194;194;1;mep16d-ensemble-pantalon-noir-avec-haut-gris;mep16d-ensemble-pantalon-noir-avec-haut-gris.jpg
195;195;1;ge1d-ensemble-art-tribal-couleurs-terre;ge1d-ensemble-art-tribal-couleurs-terre.jpg
196;196;1;mep25b-ensemble-shorty-avec-haut-une-manche-noir;mep25b-ensemble-shorty-avec-haut-une-manche-noir.jpg
197;197;1;ge1a-ensemble-art-tribal-vert-et-noir;ge1a-ensemble-art-tribal-vert-et-noir.jpg
198;198;1;gep18-ensemble-grisbleu;gep18-ensemble-grisbleu.jpg
199;199;1;mep24-ensemble-aladin;mep24-ensemble-aladin.jpg
200;200;1;gep23b-ensemble-pantalon-framboise;gep23b-ensemble-pantalon-framboise.jpg
201;201;1;mep23-ensemble-pinocchio;mep23-ensemble-pinocchio.jpg
202;202;1;mep9-costume-ados;mep9-costume-ados.jpg
203;203;1;gep11c-ensemble-sarouel-avec-top-camel;gep11c-ensemble-sarouel-avec-top-camel.jpg
204;204;1;mep21-ensemble-garcon-hippie;mep21-ensemble-garcon-hippie.jpg
205;205;1;gep11b-ensemble-sarouel-avec-top-rouille;gep11b-ensemble-sarouel-avec-top-rouille.jpg
206;206;1;mep20-ensemble-pantalon-mr-loyal;mep20-ensemble-pantalon-mr-loyal.jpg
207;207;1;gep38b-ensemble-pantalon-bleu-marine;gep38b-ensemble-pantalon-bleu-marine.jpg
208;208;1;mep19-ensemble-pantalon-noir-de-sorcier;mep19-ensemble-pantalon-noir-de-sorcier.jpg
209;209;1;gep38a-ensemble-pantalon-bleu-royal;gep38a-ensemble-pantalon-bleu-royal.jpg
210;210;1;mep18-ensemble-blanc-pour-garcon;mep18-ensemble-blanc-pour-garcon.jpg
211;211;1;gep37-ensemble-sarouel-rouge-et-haut-noir;gep37-ensemble-sarouel-rouge-et-haut-noir.jpg
212;212;1;mep26c-ensemble-pantalon-turquoise;mep26c-ensemble-pantalon-turquoise.jpg
213;213;1;gep34-ensemble-epic;gep34-ensemble-epic.jpg
214;214;1;gep33-ensemble-samourai;gep33-ensemble-samourai.jpg
215;215;1;mep25c-ensemble-pantalon-une-jambe-avec-brassiere-noir;mep25c-ensemble-pantalon-une-jambe-avec-brassiere-noir.jpg
216;216;1;gep32a-ensemble-gris-anthracite;gep32a-ensemble-gris-anthracite.jpg
217;217;1;gep23-ensemble-pantalon-sarouel-framboise-a-paillettes-turquoises;gep23-ensemble-pantalon-sarouel-framboise-a-paillettes-turquoises.jpg
218;218;1;ge1b-ensemble-raye-chocolat;ge1b-ensemble-raye-chocolat.jpg
219;219;1;gep40-ensemble-pantalon-avec-tee-shirt-paillettes;gep40-ensemble-pantalon-avec-tee-shirt-paillettes.jpg
220;220;1;gep28-ensemble-garcon-couleur-terre;gep28-ensemble-garcon-couleur-terre.jpg
221;221;1;gep14a-ensemble-oriental-vert-a-piece;gep14a-ensemble-oriental-vert-a-piece.jpg
222;222;1;gep27-ensemble-terre-centauresse;gep27-ensemble-terre-centauresse.jpg
223;223;1;gep26-ensemble-pantalon-chinois-de-couleur-ecrus;gep26-ensemble-pantalon-chinois-de-couleur-ecrus.jpg
224;224;1;ge2c-ensemble-pantalon-chinois-plus-haut;ge2c-ensemble-pantalon-chinois-plus-haut.jpg
225;225;1;ge1i-ensemble-tunique-et-pantalon-une-jambe;ge1i-ensemble-tunique-et-pantalon-une-jambe.jpg
226;226;1;ge1h-ensemble-tunique-dos-nu-et-pantalon-fendu;ge1h-ensemble-tunique-dos-nu-et-pantalon-fendu.jpg
227;227;1;ge1g-ensemble-sarouel-raye-fendu-en-bas;ge1g-ensemble-sarouel-raye-fendu-en-bas.jpg
228;228;1;ge1j-ensemble-haut-et-pantalon-raye-jaune;ge1j-ensemble-haut-et-pantalon-raye-jaune.jpg
229;229;1;ph5-tee-shirt-assortiment-de-couleurs;ph5-tee-shirt-assortiment-de-couleurs.jpg
230;230;1;ph6-chemise-blanche;ph6-chemise-blanche.jpg
231;231;1;ph4-tee-shirt-marin;ph4-tee-shirt-marin.jpg
232;232;1;ph3-tee-shirt-blanc-a-manchettes;ph3-tee-shirt-blanc-a-manchettes.jpg
233;233;1;ph2-marcel-assortiment-de-couleurs;ph2-marcel-assortiment-de-couleurs.jpg
234;234;1;ph1-top-blanc;ph1-top-blanc.jpg
235;235;1;mh3-marcel-assortiment-de-couleurs;mh3-marcel-assortiment-de-couleurs.jpg
236;236;1;mh19c-top-croise-dos-nu-bleu-royal;mh19c-top-croise-dos-nu-bleu-royal.jpg
237;237;1;mh19b-top-croise-dos-nu-rouge;mh19b-top-croise-dos-nu-rouge.jpg
238;238;1;mh19a-top-croise-dos-nu-noir;mh19a-top-croise-dos-nu-noir.jpg
239;239;1;mh15-haut-violet-une-manche;mh15-haut-violet-une-manche.jpg
